Statistic,PSNR,SSIM,LPIPS,CAMBI,BBAND
Mean,40.98454528976666,0.9874635220721736,0.038343512497977475,3.515065298327499,1.216884361953146
Median,41.019431159457916,0.9887066601977349,0.030567087233066503,1.2283935000000001,1.28107067828182
Min,29.898385880351952,0.8033551838567257,0.00057499401737,0.0,0.0
Max,50.62058773842058,0.9995198327980042,0.2431485056877136,20.190924,3.35115584863847
Std,2.6558536639210906,0.008529335420706075,0.029542874844477884,4.449153236649412,0.5314551936696115
