filename,PSNR,SSIM,LPIPS,CAMBI,BBAND,CLIP-IQA (quality),CLIP-IQA (noisiness)
_000001_0001.png_250250.png,39.47744869842629,0.9825612092475892,0.08435584604740143,0.079756,1.2418730375075,0.5210344791412354,0.9893165826797485
_000001_0001.png_250400.png,39.80717742440143,0.9820149820261002,0.07994387298822403,0.925,1.48569430996408,0.7864348292350769,0.9946752786636353
_000001_0002.png_7001600.png,36.5824625853581,0.9689134385461807,0.07321609556674957,0.019959,1.01514722488555,0.8654794692993164,0.9967542290687561
_000001_0002.png_7751525.png,37.819991713605546,0.9787267210197449,0.07263999432325363,0.008025,1.14070226609488,0.8144354820251465,0.9959782361984253
_000001_0006.png_7751375.png,39.55122249425546,0.9873883053331375,0.05218980833888054,8.486785,1.5271998584128,0.5506107211112976,0.947051465511322
_000001_0007.png_1001225.png,37.51836013580079,0.9958287421216965,0.011882148683071136,13.256104,2.63654527327728,0.7885230779647827,0.9945651292800903
_000001_0007.png_175100.png,42.53510694551849,0.9960595200901031,0.013935684226453304,13.199864,1.52795020636012,0.8212500214576721,0.9953299760818481
_000001_0007.png_1751225.png,33.368957282149466,0.9944386819934845,0.015600805170834064,12.534382,1.18353274578927,0.8673743605613708,0.9916674494743347
_000001_0007.png_175550.png,35.518078677124684,0.9968555224637985,0.014558739960193634,15.285561,2.55084011303192,0.793535053730011,0.99398273229599
_000001_0007.png_250625.png,36.62532364802829,0.9962825950174332,0.01075510773807764,14.038284,2.90758945903197,0.7724574208259583,0.9915596842765808
_000001_0007.png_325250.png,36.12653431275503,0.9949690590238571,0.007921984419226646,6.214637,0.0284383069384443,0.8317813277244568,0.9954535961151123
_000001_0007.png_400100.png,37.727883746849685,0.9926987303743362,0.011604574508965015,3.574022,0.393153850650527,0.9559478759765625,0.9966168999671936
_000001_0007.png_400550.png,35.97749225144571,0.9887044289846421,0.013812015764415264,4.59388,0.538044155250773,0.7158133387565613,0.9975805282592773
_000001_0008.png_100775.png,37.06753176371783,0.9845077148733139,0.02820160612463951,0.167735,1.24078071425413,0.9277650117874146,0.9910861849784851
_000001_0008.png_175925.png,40.51347764281506,0.9906811833209992,0.03936070203781128,0.003782,1.62582629450918,0.829312264919281,0.9925059676170349
_000001_0008.png_2501075.png,39.63186272007021,0.9928576728563309,0.02743929997086525,0.016794,1.05638311023372,0.8287529349327087,0.9968468546867371
_000001_0008.png_250775.png,41.62416409150648,0.9870727260951996,0.03176562488079071,0.0,1.47419009620576,0.8210582733154297,0.995313286781311
_000001_0008.png_475925.png,41.481472306803404,0.9900367862892151,0.023654654622077942,0.111861,1.3673871214521,0.7145911455154419,0.9938202500343323
_000001_0008.png_625700.png,39.62130094342014,0.9864374676179886,0.03032735362648964,0.0,1.18382494764653,0.7930914163589478,0.9949192404747009
