Statistic,PSNR,SSIM,LPIPS,CAMBI,BBAND
Mean,29.546430723594174,0.9163913278453634,0.26560210053684374,0.9262341777518475,0.890865472636658
Median,29.93215703631428,0.9174325356216431,0.2530956268310547,0.0295885,0.928454448711828
Min,17.83782664264988,0.6574908506731987,0.0066969185136258,0.0,0.0
Max,39.42829097646096,0.9965165515108108,0.7240111231803894,13.591877,3.53895175723155
Std,2.8289512487505832,0.03078726102341011,0.13973589650815427,1.9850213298474058,0.40166706551935255
