Statistic,PSNR,SSIM,LPIPS,CAMBI,BBAND
Mean,40.789997708546814,0.9871625917605876,0.03845236970365564,3.380271563399455,1.2159199290827005
Median,40.8236603055917,0.9884511255345345,0.0304121142253279,1.172367,1.2824098228237149
Min,29.710029040851488,0.7653648699929714,0.0012127645313739,0.0,0.0
Max,49.94941288268503,0.9993365372037888,0.2433405518531799,19.74089,3.16142330481316
Std,2.6159157983378147,0.009205521402910597,0.030082268573777125,4.265271541794473,0.5302074637804625
