Statistic,PSNR,SSIM,LPIPS,CAMBI,BBAND
Mean,40.87513049309796,0.9871613155096962,0.03478872188341271,3.1968622998833136,1.2384923315698861
Median,40.92784447157085,0.9883952964367867,0.0284738708287477,1.13457,1.31363740147698
Min,29.85998066926676,0.8032586278469562,0.0005749192787334,0.0,0.0
Max,50.13266227481548,0.999374533993721,0.2195780873298645,17.806719,3.20078189347531
Std,2.6087192220466258,0.008521949961909824,0.025855617553122642,3.975853283154979,0.5307265785389891
