Statistic,PSNR,SSIM,LPIPS,CAMBI,BBAND,DBI
Mean,36.286263570711036,0.976727771419351,0.08118112949690318,1.4667609929988332,1.2174885624335765,0.08314766475608674
Median,36.43463248468122,0.9779817175312042,0.0636291950941085,0.44112300000000004,1.261815845075825,0.05461714410269575
Min,24.901688866490353,0.6952695349454879,0.0052636796608567,0.0,0.0,0.0
Max,43.50301884618894,0.9986782602128984,0.4128841161727905,14.346675,9.13782596200154,0.8590807428174764
Std,2.6778051173460646,0.016273362647641888,0.059877172877939096,2.2504471309610246,0.5986344900281813,0.09262677850572994
