Statistic,PSNR,SSIM,LPIPS,CAMBI,BBAND,DBI
Mean,42.1110737631814,0.9883911030222231,0.036423281825485584,3.7977714134577982,1.4031853306446989,0.022007994270451917
Median,42.16681507772346,0.9893149223709107,0.0286492966115474,1.331665,1.42908740162415,0.0
Min,32.54056327969902,0.9037340517101288,0.0006136349402368,0.0,0.0,0.0
Max,52.09230456910766,0.9994434812374114,0.2262229323387146,19.641262,3.79177488154523,0.5624104816608962
Std,2.9014416329705086,0.00661933647938204,0.028675966575562546,4.725037242189338,0.6419576667131344,0.044214228859671946
