Statistic,PSNR,SSIM,LPIPS,CAMBI,BBAND,DBI
Mean,42.39890695127118,0.9886650958634339,0.0367419012316578,3.946917124465189,1.4097839997261568,0.020934996208604804
Median,42.388265894947736,0.9895712372465134,0.0292932670563459,1.4074585,1.43324628825527,0.0
Min,32.74061885017518,0.902089264927864,0.0002135423419531,0.0,0.0,0.0
Max,54.826883610878454,0.9996983097429276,0.2115017473697662,21.726776,3.67379653128719,0.5076351777105846
Std,3.025117293545753,0.006433020503556916,0.02868431099172285,4.961051550486014,0.6538717685138818,0.042345080250761474
