filename,PSNR,SSIM,LPIPS,CAMBI,BBAND,CLIP-IQA (quality),CLIP-IQA (noisiness),CGVQM,DBI
_000002_0800.png_1001375.png,36.37867918025313,0.9832132565717696,0.0195565167814493,0.0,0.338219908251986,0.6112076640129089,0.9932577610015868,97.6631088256836,0.06235584863946999
_000002_1201.png_1001375.png,41.618440639473846,0.978640111951828,0.0608667284250259,5.53944,1.33333322213927,0.7779842615127563,0.9955885410308838,98.76773834228516,0.03905983559426957
_000002_1202.png_250250.png,41.11678993076816,0.9873874589223862,0.0254436172544956,0.269833,0.83255273811937,0.6261081099510193,0.9936164617538452,98.93045043945312,0.031239469802211678
_000002_1203.png_1001150.png,36.91813685642942,0.9868236612834932,0.0080918204039335,5.127868,0.214349108824349,0.822866678237915,0.9952810406684875,97.80677032470705,0.08593462929225879
_000002_1203.png_1001450.png,40.4395351911497,0.988947864613533,0.0191669277846813,7.421467,1.20447240011225,0.8140249252319336,0.9957296252250672,99.14990997314452,0.031221177970535287
_000002_1203.png_1001600.png,40.30376043339228,0.9863037907762529,0.0168212745338678,6.234942,1.22125372535575,0.7875753045082092,0.99160236120224,99.01580047607422,0.038974259649589636
_000002_1203.png_175925.png,37.65905909977657,0.9873403734560012,0.0101249227300286,7.3122,0.409445209742637,0.8445597290992737,0.996182382106781,98.83641815185548,0.08577882028923399
_000002_1203.png_250100.png,45.06033995489942,0.9904630866584778,0.0755854547023773,14.941779,2.86194348141721,0.8199790716171265,0.995256245136261,99.91063690185548,0.0
_000002_1203.png_2501300.png,43.73866550157946,0.9901956277236938,0.0316727049648761,5.170124,1.49608519360114,0.8208640217781067,0.9952954649925232,99.81748962402344,0.0
_000002_1203.png_250175.png,45.2002877048211,0.9906501423959732,0.0690909251570701,14.57543,2.72521970678639,0.8204459547996521,0.9952654838562012,99.91465759277344,0.0
_000002_1203.png_325625.png,37.70812138314504,0.9890401562099456,0.0132677694782614,6.972096,0.256650144297386,0.8357443809509277,0.9957581162452698,99.00048828125,0.09376649404052004
