filename,PSNR,SSIM,LPIPS,CAMBI,BBAND,CLIP-IQA (quality),CLIP-IQA (noisiness),DBI
000001_100_L6S.png,35.150199857410115,0.9307296442989028,0.099406860768795,0.003259,0.231864157918006,0.6284545660018921,0.9860776662826538,0.25792861718916793
000001_101_L6D.png,34.7618023935724,0.9625641391814824,0.0775038003921508,0.014603,0.164826595622043,0.6537946462631226,0.993232488632202,0.23428528131565313
000001_102_L6D.png,36.38290391310088,0.9824127312490148,0.0373164825141429,1.111317,0.192921434232229,0.8395736217498779,0.9931105375289916,0.01565477275706327
000001_103_L6D.png,30.18903967840479,0.702828241359004,0.1220518723130226,1.264861,0.249318857458934,0.6958273649215698,0.9946053624153136,0.2967182392245659
000001_104_L6D.png,35.427451736251854,0.9655193640912428,0.0798342078924179,0.018642,0.262112762570847,0.8581681847572327,0.9969898462295532,0.2267966838324191
000001_105_L6D.png,36.685317380513176,0.9664285422078404,0.0927842184901237,0.766023,0.235816186623567,0.6587011814117432,0.9916285276412964,0.16405365760274224
000001_106_L6D.png,36.13991455441981,0.9559871557867228,0.1640859842300415,0.0904,0.278239550790468,0.7596926093101501,0.9962517619132996,0.22654028743949342
000001_107_L6D.png,30.989382435417184,0.7956525273519996,0.1110519617795944,0.962083,0.268458265833945,0.7712959051132202,0.9889228343963624,0.2032842700987944
000001_108_L6D.png,39.624282641289355,0.9852455190991511,0.0521201528608799,0.071977,0.150694691156335,0.8048224449157715,0.9904012084007264,0.0781686678905839
000001_109_L6D.png,37.99358066325834,0.9609168682233968,0.16363325715065,0.003026,0.251469948105716,0.586405336856842,0.9940109848976136,0.3205506507463025
000001_110_L6D.png,31.518648592663077,0.898007713381375,0.1191173866391182,0.612102,0.187897365849905,0.7378449440002441,0.9976571798324584,0.3828264705062929
000001_111_L6D.png,34.18804017215355,0.9561884772425564,0.0827044919133186,0.04627,0.124691415157135,0.5684010982513428,0.989535629749298,0.39084846977389465
000001_112_L6D.png,35.55505540865762,0.9625705363381244,0.1843257248401641,0.011471,0.259201916324606,0.7411007881164551,0.995411217212677,0.9533023821985475
000001_114_L6D.png,34.38790182732806,0.9754254093044616,0.1471739709377288,0.002961,0.156945888566734,0.7635968923568726,0.9976992011070251,0.39022200088566206
000001_115_L6D.png,33.13643542073394,0.8898488789085027,0.1010900065302848,0.116906,0.276421871010764,0.8628973960876465,0.9938714504241944,0.22653126566958925
000001_117_L6D.png,36.15571987997885,0.963870026655146,0.135381281375885,0.001976,0.230778679645758,0.6745916604995728,0.9963228702545166,0.36700063176824693
000001_118_L6D.png,37.81607807728775,0.9735312221284532,0.1029042080044746,0.053545,0.232070655845525,0.8838346600532532,0.997314989566803,0.13277040752509692
000001_119_L6D.png,31.673971832601076,0.9587185876056292,0.0426996275782585,0.0,0.0446720241970851,0.8092066049575806,0.9949111342430116,0.03111373175898418
000001_11_L6S.png,29.961017701389665,0.8736431385125369,0.1467646956443786,0.366169,0.228419917538305,0.8024447560310364,0.9885579347610474,0.13288987717839357
000001_120_L6D.png,34.82827325377585,0.9529665606605534,0.0824802964925766,0.0,0.254238127259034,0.6121020913124084,0.9925518035888672,0.023570343836021426
000001_121_L6D.png,35.05456016307455,0.9468719978803742,0.1167007014155387,0.006481,0.282969106629581,0.5392491221427917,0.9943907856941224,0.07807479730394157
000001_122_L6D.png,32.58011085173551,0.9608851875809769,0.0985607504844665,0.093128,0.16411578662618,0.7507126927375793,0.9933079481124878,0.34346213698243183
000001_123_L6D.png,36.46878400334939,0.9608093286587914,0.1646569967269897,0.161595,0.26101316852849,0.7606218457221985,0.995653748512268,0.3278241173671931
000001_124_L6D.png,35.846608062324044,0.951189008967075,0.1251288503408432,0.064114,0.266767169587035,0.535420298576355,0.992253839969635,0.328242142764679
000001_125_L6D.png,32.807035546494106,0.949410126444172,0.1114321500062942,0.161411,0.19395752619781,0.823891818523407,0.9939443469047546,0.23429786058027136
000001_126_L6D.png,31.27123021899156,0.8975148874451451,0.1042760014533996,0.973692,0.158437474749998,0.8739163875579834,0.9956491589546204,0.16390396767192672
000001_127_L6D.png,30.65471403285645,0.9422471173575367,0.1798108518123626,0.0,0.215699877796521,0.8028989434242249,0.9967695474624634,0.08580505956487058
000001_128_L6D.png,32.7775129286769,0.9497651246984344,0.1747268587350845,0.0,0.234584070183881,0.6975813508033752,0.9979495406150818,0.3594896548040243
000001_129_L6D.png,37.863210555847914,0.9432448907071316,0.2296950221061706,0.0,0.237784242635443,0.8109116554260254,0.998239517211914,0.16395430717775336
000001_130_L6D.png,33.07684815791771,0.9204098035973908,0.0920316129922866,0.442398,0.298930219137088,0.7050341367721558,0.98905748128891,0.054728223715280466
000001_131_L6D.png,36.349170039688374,0.961690310894652,0.187946930527687,0.000373,0.273441801402535,0.8300999999046326,0.9934936165809632,0.3436208905011503
000001_132_L6D.png,33.10939645603615,0.9548345585471966,0.1179128736257553,0.104209,0.150940117886099,0.696049690246582,0.9937551021575928,0.3829515183467429
000001_133_L6D.png,26.767616328048657,0.7449008491398993,0.1298877298831939,1.265521,0.171590596085965,0.6261279582977295,0.9860687255859376,0.11737705634468312
000001_134_L6D.png,34.299178988750334,0.9641946510313872,0.1322890520095825,0.008125,0.214882372251548,0.8117926120758057,0.9872143268585204,0.22629140116397653
000001_135_L6D.png,33.50929960650052,0.9318518758289004,0.1389131247997284,0.236644,0.249975931847465,0.6544098258018494,0.992891788482666,0.41430595103833434
000001_136_L6D.png,35.902673019421826,0.924536138033298,0.1410098373889923,0.145207,0.275901898031359,0.552280068397522,0.9959179759025574,0.2500081277751234
000001_137_L6D.png,34.54113940219875,0.9627684393838178,0.1169154271483421,0.007411,0.175353224135671,0.609133243560791,0.9952490329742432,0.39031692675307345
000001_139_L6D.png,23.79635465654571,0.5003533098442027,0.1171857565641403,2.448359,0.143578619204269,0.6399461627006531,0.994316041469574,0.03134196522785161
000001_13_L6S.png,34.714041210350615,0.9508139849653976,0.1045001968741417,0.037814,0.245030320163312,0.5553016662597656,0.99338561296463,0.12489140806027008
000001_140_L6D.png,34.568385613753904,0.9585800727043368,0.1520956754684448,0.062637,0.157948738960231,0.5223763585090637,0.9913973808288574,0.3598302574510879
000001_141_L6D.png,33.25256493680622,0.959656389024932,0.12234877794981,0.016749,0.205773027020752,0.6905226111412048,0.991791844367981,0.3905523910799576
