Statistic,PSNR,SSIM,LPIPS,CAMBI,BBAND,DBI
Mean,37.343659445818574,0.9640424144103183,0.09986324494006109,0.512507437,0.5636004276261966,0.4306805295789525
Median,37.46224998206763,0.9749123700854755,0.0913302712142467,0.1194945,0.566279969759108,0.3980552522753022
Min,24.184666535714317,0.5617012485256115,0.0,0.0,0.0080943376481424,0.0
Max,100.0,1.0,0.3488781452178955,8.586204,2.48934039093099,1.0
Std,3.564748681279314,0.03679390164960954,0.0570212721868371,0.9631870735610668,0.22116244663256845,0.2863609356239856
