Statistic,PSNR,SSIM,LPIPS,CAMBI,BBAND,DBI
Mean,38.96272423531747,0.9766849483728067,0.061708336159470446,0.701764784,0.5506393584998197,0.15756412894518393
Median,39.471869266658246,0.9845151018376637,0.049570320174097945,0.1274225,0.5845815611515259,0.1249216642136597
Min,24.06969379593129,0.7382561314154908,0.0006390258204191,0.0,0.0090261942042717,0.0
Max,47.31370716166441,0.9993674087801416,0.403555691242218,8.799093,1.41458832714616,0.9766459900638385
Std,3.4665797451029063,0.02629222172132961,0.04273036341232589,1.2350531226444716,0.18431222233576786,0.14079981835525807
