Statistic,PSNR,SSIM,LPIPS,CAMBI,BBAND,DBI
Mean,39.05447459316083,0.976853314138814,0.059062035282695394,0.6394306249999999,0.5410336897953241,0.15659587594335192
Median,39.565292224876714,0.9843763944340147,0.04743159934878345,0.1131375,0.5785866146246346,0.12507748180736755
Min,25.282440742418416,0.7386143411008644,0.0007094472530297,0.0,0.007881803226424,0.0
Max,48.90937956810697,0.999349132463705,0.3849175572395324,8.732139,1.18250220412072,0.8986180687145529
Std,3.386171901573094,0.02581444610577411,0.040558232461187955,1.15771753283282,0.17262768152763286,0.13367194485190134
