Statistic,PSNR,SSIM,LPIPS,CAMBI,BBAND,DBI
Mean,32.95572809595841,0.9064440012464379,0.07948148795985613,0.37545973194444443,0.153718817233703,0.16622345721748621
Median,33.49269928661454,0.9526134899564154,0.07492601126432416,0.0127315,0.1639315692614,0.13279596312721484
Min,21.690011333925582,0.0316066242242415,0.0145624568685889,0.0,0.0003189418094764,0.0
Max,38.343574654593155,0.9935566625411232,0.2289343327283859,10.106707,0.34694514153647,0.9844168816375732
Std,2.7614416348938264,0.12765062756710888,0.03511702391927139,0.9159856834999591,0.07672415438896148,0.13990732522739113
