Statistic,PSNR,SSIM,LPIPS,CAMBI,BBAND,DBI
Mean,33.23653525733875,0.9072259761098616,0.07791033090454419,0.3736560840277778,0.1533885576045397,0.16815877588085473
Median,33.830240431681034,0.9531412433056037,0.07293727621436115,0.01297,0.164410793099936,0.13668511913916734
Min,21.712490292112832,0.0316818379051792,0.0144196366891264,0.0,0.0003178991436272,0.0
Max,38.93781737926901,0.9936072006493256,0.2265225499868393,11.750131,0.344300176357385,0.9844168816375732
Std,2.76684374026924,0.1276986622561797,0.03545437028339795,0.9417599046614596,0.07648306779903295,0.1417545872279894
