Statistic,PSNR,SSIM,LPIPS,CAMBI,BBAND,DBI
Mean,39.338948551436836,0.9773660200101565,0.04392810131321308,0.5254086750000001,0.39801986801525174,0.1390472861032454
Median,39.15981912209765,0.98034646263288,0.039752513170242296,0.052184499999999995,0.4213041410945435,0.1170781196807493
Min,30.70963623071423,0.6357699487192701,0.001050827326253,0.0,0.0008174840350121,0.0
Max,48.47102333166689,0.9995065385059372,0.1484938561916351,12.9219,1.23194078791048,0.7816402126965705
Std,2.099972137708733,0.020850652393175524,0.022431061361027203,1.1870760308112702,0.20414260289118255,0.11605568484804762
