Statistic,PSNR,SSIM,LPIPS,CAMBI,BBAND,DBI
Mean,38.82633494510484,0.9773773506664409,0.04767650580340863,0.5188328354166667,0.36512851248314865,0.08174257459521386
Median,38.670746029421295,0.9802076332185778,0.0426210798323154,0.0475545,0.389242679817452,0.06249973780642395
Min,29.627598972819506,0.8221755851917201,0.0011098560644313,0.0,0.0007803145762188,0.0
Max,50.368921267846495,0.9995020085286648,0.1654492020606994,11.621983,1.16049972871112,0.6327565546395312
Std,2.1972157890474637,0.015642502935271536,0.024917909832648414,1.2203739961500706,0.18731598118465087,0.0770422622315586
