Statistic,PSNR,SSIM,LPIPS,CAMBI,BBAND,DBI
Mean,39.037024096104,0.9770795650333337,0.04628061717214421,0.5428838798611111,0.38565329568158213,0.13286566282517703
Median,38.86214488556689,0.9801404127342481,0.04185007512569425,0.0538795,0.4099351237901955,0.10942488070586875
Min,30.74928933530512,0.6354009852551127,0.0010652769124135,0.0,0.0008275610208364,0.0
Max,48.422938848454464,0.999480587468484,0.1598746180534362,12.921483,1.11703814596969,0.6958255378318082
Std,2.2392076325318393,0.020867411696064545,0.02363732957941973,1.2223985131765394,0.19518638337629537,0.11103417119624737
