Statistic,PSNR,SSIM,LPIPS,CAMBI,BBAND,DBI
Mean,38.9696130985535,0.9772390231161672,0.045271272053570163,0.6160825763888889,0.4121703509265967,0.1279433050581136
Median,38.76105693923126,0.980135120820131,0.040902318432927104,0.048349,0.43744828354640053,0.10152724134153365
Min,30.213331474969326,0.6704945194496887,0.0009368390310555,0.0,0.0007937977172402,0.0
Max,50.38429262517894,0.9996285434913422,0.158644825220108,13.190185,1.24366940151001,0.8518563320698418
Std,2.2595921479066785,0.01752925411490411,0.02292334878599856,1.3206742467389374,0.21149170188540853,0.11132272998412038
